id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
28287001,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.83,$115.00 ,Entire home/apt,1,0,1
19037407,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.25,$150.00 ,Private room,1,2,4
19061805,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.24,$129.00 ,Entire home/apt,1,2,3
10436696,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,26.38,$210.00 ,Entire home/apt,1,1,1
20727773,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.36,$140.00 ,Entire home/apt,2,2,3
1557937,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.74,$135.00 ,Entire home/apt,2,3,3
19892782,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.29,$175.00 ,Entire home/apt,1,1,1
15807139,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.14,$139.00 ,Entire home/apt,1,1,1
33948547,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.77,$121.00 ,Entire home/apt,1,1,1
21791354,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,24.11,$156.00 ,Entire home/apt,1,1,1
10527125,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.42,$193.00 ,Entire home/apt,1,1,1
8536625,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.66,$150.00 ,Entire home/apt,1,1,1
11743458,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.80,$228.00 ,Entire home/apt,2,2,3
23834424,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.16,$180.00 ,Private room,2,1,1
5177766,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.75,$143.00 ,Entire home/apt,1,1,2
28697793,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.68,$190.00 ,Entire home/apt,1,2,2
15743774,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.88,$180.00 ,Entire home/apt,1,1,1
7147961,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.56,$230.00 ,Entire home/apt,1,3,3
23860542,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.42,$171.00 ,Entire home/apt,1,2,3
32993672,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,21.51,$150.00 ,Entire home/apt,1,2,3
31194781,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.30,$165.00 ,Entire home/apt,1,1,1
22872538,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.71,$140.00 ,Entire home/apt,1,1,1
22267512,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.04,$151.00 ,Entire home/apt,1,1,3
31177708,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.87,$142.00 ,Entire home/apt,1,2,2
17943413,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.49,$150.00 ,Private room,1,1,1
12053404,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.71,$235.00 ,Entire home/apt,1,3,6
